Object, Gaussian Process, Decision Tree, Linear SVM, Neural Net, RBF SVM, AdaBoost, Random Forest, Nearest Neighbors, 
cyl30, 0.9678217821782178, 0.8465346534653465, 0.6658415841584159, 0.8391089108910891, 0.9529702970297029, 0.8638613861386139, 0.8391089108910891, 0.9381188118811881, 
cyl45, 0.9660493827160493, 0.9259259259259259, 0.7098765432098766, 0.8888888888888888, 0.9444444444444444, 0.9351851851851852, 0.8827160493827161, 0.9290123456790124, 
poly10, 0.9573643410852714, 0.9186046511627907, 0.7131782945736435, 0.9108527131782945, 0.9651162790697675, 0.9069767441860465, 0.875968992248062, 0.9108527131782945, 
sqr30, 0.9632352941176471, 0.8823529411764706, 0.7095588235294118, 0.8529411764705882, 0.9191176470588235, 0.8676470588235294, 0.8639705882352942, 0.9301470588235294, 
cyl35, 0.9691780821917808, 0.863013698630137, 0.7808219178082192, 0.8116438356164384, 0.9315068493150684, 0.8664383561643836, 0.8321917808219178, 0.934931506849315, 
str40, 0.9451612903225807, 0.8, 0.6225806451612903, 0.8193548387096774, 0.9419354838709677, 0.8290322580645161, 0.7741935483870968, 0.9, 
rec60, 0.9516129032258065, 0.8669354838709677, 0.6532258064516129, 0.8467741935483871, 0.9395161290322581, 0.8790322580645161, 0.842741935483871, 0.9395161290322581, 
egg50, 0.9732142857142857, 0.7827380952380952, 0.6696428571428571, 0.8005952380952381, 0.9345238095238095, 0.8005952380952381, 0.7380952380952381, 0.9434523809523809, 
elp40, 0.9595588235294118, 0.8308823529411765, 0.7242647058823529, 0.8455882352941176, 0.9375, 0.8786764705882353, 0.8566176470588235, 0.9044117647058824, 
poly6, 0.9482758620689655, 0.8663793103448276, 0.7241379310344828, 0.8793103448275862, 0.9224137931034483, 0.8793103448275862, 0.8146551724137931, 0.875, 
