name, Success rate, fail accuracy, success accuracy 
poly6,84.0707964602,84.9557522124,83.185840708
cyl35,84.6153846154,81.1188811189,88.1118881119
sqr30,86.0294117647,86.7647058824,85.2941176471
elp40,87.6068376068,89.7435897436,85.4700854701
cyl45,90.9836065574,92.6229508197,89.3442622951
poly10,90.2912621359,92.2330097087,88.3495145631
