4.070000839233398438e+01, 1.040990676879882812e+02, 1.220001525878906250e+02, -1.130000686645507812e+02
3.972317504882812500e+01, 1.043543624877929688e+02, 1.161357727050781250e+02, -3.223345947265625000e+01
3.921282958984375000e+01, 1.040629806518554688e+02, 1.570924530029296875e+02, -1.018963317871093750e+02
3.705952072143554688e+01, 1.040474472045898438e+02, 1.658975219726562500e+02, -4.143387603759765625e+01
3.166762161254882812e+01, 1.037952880859375000e+02, 1.679003448486328125e+02, -3.349250793457031250e+01
2.747917747497558594e+01, 1.033533477783203125e+02, 1.642084503173828125e+02, -3.071214103698730469e+01
2.666742324829101562e+01, 1.029453048706054688e+02, 1.818614501953125000e+02, -1.032283325195312500e+02
2.511264610290527344e+01, 1.025199584960937500e+02, 1.918701782226562500e+02, -5.496363449096679688e+01
2.139056968688964844e+01, 1.018982009887695312e+02, 1.899212036132812500e+02, -4.655262756347656250e+01
1.679772949218750000e+01, 1.011008605957031250e+02, 1.742091217041015625e+02, -3.960065841674804688e+01
1.636617660522460938e+01, 1.008129882812500000e+02, 1.842665405273437500e+02, -1.024766464233398438e+02
1.322114276885986328e+01, 9.960833740234375000e+01, 1.848463897705078125e+02, -5.948224258422851562e+01
1.063669872283935547e+01, 9.852770996093750000e+01, 1.796351623535156250e+02, -5.735472869873046875e+01
7.869328498840332031e+00, 9.757781982421875000e+01, 1.708406524658203125e+02, -5.157914352416992188e+01
4.897774696350097656e+00, 9.658435058593750000e+01, 1.638549804687500000e+02, -4.477423477172851562e+01
4.578690052032470703e+00, 9.628713989257812500e+01, 1.844821624755859375e+02, -1.007531738281250000e+02
4.492173194885253906e+00, 9.573171234130859375e+01, 2.037501220703125000e+02, -1.210160217285156250e+02
3.917196512222290039e+00, 9.454573059082031250e+01, 2.100401611328125000e+02, -1.345837554931640625e+02
3.578850507736206055e+00, 9.309365844726562500e+01, 2.189574432373046875e+02, -1.531605987548828125e+02
3.664591789245605469e+00, 9.189276123046875000e+01, 2.272563476562500000e+02, -1.623199615478515625e+02
3.084740161895751953e+00, 9.165462493896484375e+01, 7.290436553955078125e+01, -5.505698013305664062e+01
-7.948546409606933594e-01, 9.028226470947265625e+01, 8.561342620849609375e+01, -4.629683685302734375e+01
-6.714943647384643555e-01, 9.015161895751953125e+01, 1.298053436279296875e+02, -9.988924407958984375e+01
-7.443856596946716309e-01, 8.916937255859375000e+01, 1.673524932861328125e+02, -1.251828155517578125e+02
-2.388525009155273438e+00, 8.762944793701171875e+01, 1.797856750488281250e+02, -5.222872924804687500e+01
-3.165468692779541016e+00, 8.616024017333984375e+01, 2.044333343505859375e+02, -1.201858596801757812e+02
-4.522324562072753906e+00, 8.493974304199218750e+01, 2.031976318359375000e+02, -6.538191986083984375e+01
-7.195194244384765625e+00, 8.272391510009765625e+01, 2.017769775390625000e+02, -5.048071670532226562e+01
-8.939240455627441406e+00, 8.101122283935546875e+01, 1.972451782226562500e+02, -4.556882858276367188e+01
-1.072655868530273438e+01, 7.908156585693359375e+01, 1.913091278076171875e+02, -4.087677001953125000e+01
-1.429253768920898438e+01, 7.649842834472656250e+01, 1.927467956542968750e+02, -4.060646820068359375e+01
-1.465133571624755859e+01, 7.483901977539062500e+01, 2.059703369140625000e+02, -1.184880142211914062e+02
-1.691680526733398438e+01, 7.265361022949218750e+01, 2.225338745117187500e+02, -6.595243835449218750e+01
